data_source,sttsAccmlTrgtYr,areaNm,sexNm,rchnAggr,isuKindNm,joinCnt,joinRto,taxPrqlYn,pymtMthNm,offrTyNm,yerUnitPymtTerm
국민보험가입현황,2018,세종/기타,남자,20대,건강,4491,17.4,,,,
국민보험가입현황,2018,경기,여자,30대,연금,199004,17.3,,,,
국민보험가입현황,2018,경기,남자,30대,종신,411981,33.1,,,,
국민보험가입현황,2018,경기,여자,30대,종신,388280,32.5,,,,
국민보험가입현황,2018,세종/기타,여자,20대,건강,4172,15.9,,,,
국민보험가입현황,2018,세종/기타,남자,20대,암,5648,8.2,,,,
국민보험가입현황,2018,세종/기타,여자,20대,암,5980,8.9,,,,
국민보험가입현황,2018,세종/기타,남자,20대,변액,8550,13.7,,,,
국민보험가입현황,2018,세종/기타,여자,20대,변액,6958,12,,,,
국민보험가입현황,2018,서울,남자,30대,연금,206493,22,,,,
국민보험가입현황,2018,서울,여자,30대,연금,235413,24.4,,,,
국민보험가입현황,2018,서울,남자,30대,종신,359630,36.8,,,,
국민보험가입현황,2018,서울,여자,30대,종신,339312,35.1,,,,
국민보험가입현황,2018,서울,남자,30대,정기,39387,5,,,,
국민보험가입현황,2018,세종/기타,여자,30대,정기,1968,4.1,,,,
국민보험가입현황,2018,세종/기타,남자,30대,상해,4536,4.4,,,,
국민보험가입현황,2018,경기,남자,20대,정기,17912,2.3,,,,
국민보험가입현황,2018,경기,여자,20대,정기,15975,2.2,,,,
국민보험가입현황,2018,경기,남자,20대,상해,26052,3,,,,
국민보험가입현황,2018,강원,여자,20대,건강,4161,6.1,,,,
국민보험가입현황,2018,강원,남자,20대,암,7527,8,,,,
국민보험가입현황,2018,강원,여자,20대,암,7192,9.2,,,,
국민보험가입현황,2018,강원,남자,20대,변액,13240,11,,,,
국민보험가입현황,2018,강원,여자,20대,변액,9835,10.4,,,,
국민보험가입현황,2018,충북,남자,20대,연금,7536,7,,,,
국민보험가입현황,2018,충북,여자,20대,연금,7657,8.4,,,,
국민보험가입현황,2018,충북,남자,20대,종신,37484,28.4,,,,
국민보험가입현황,2018,충북,여자,20대,종신,30112,28.6,,,,
국민보험가입현황,2018,충북,남자,20대,정기,2362,2.6,,,,
국민보험가입현황,2018,충북,여자,20대,정기,2069,2.8,,,,
국민보험가입현황,2018,충북,남자,20대,상해,3926,3.9,,,,
국민보험가입현황,2018,충북,여자,20대,상해,3241,3.8,,,,
국민보험가입현황,2018,충북,남자,20대,질병,26844,17.8,,,,
국민보험가입현황,2018,충북,여자,20대,질병,27157,22.4,,,,
국민보험가입현황,2018,충북,남자,20대,건강,6379,7,,,,
국민보험가입현황,2018,충북,여자,20대,건강,5697,7.6,,,,
국민보험가입현황,2018,충북,남자,20대,암,9726,9.3,,,,
국민보험가입현황,2018,충북,여자,20대,암,9329,10.9,,,,
국민보험가입현황,2018,충북,남자,20대,변액,17981,13.6,,,,
국민보험가입현황,2018,충북,여자,20대,변액,13906,13,,,,
국민보험가입현황,2018,충남,남자,20대,연금,9557,7.4,,,,
국민보험가입현황,2018,충남,여자,20대,연금,9503,8.5,,,,
국민보험가입현황,2018,강원,남자,20대,건강,4615,5.5,,,,
국민보험가입현황,2018,전남,남자,20대,연금,9227,8.1,,,,
국민보험가입현황,2018,경기,여자,20대,상해,23584,3,,,,
국민보험가입현황,2018,경기,남자,20대,질병,225743,17.1,,,,
국민보험가입현황,2018,경기,여자,20대,질병,243018,20.2,,,,
국민보험가입현황,2018,경기,남자,20대,건강,42152,5.4,,,,
국민보험가입현황,2018,경기,여자,20대,건강,41109,5.7,,,,
국민보험가입현황,2018,경기,남자,20대,암,75581,8.6,,,,
국민보험가입현황,2018,경기,여자,20대,암,80962,9.7,,,,
국민보험가입현황,2018,경기,남자,20대,변액,133047,12,,,,
국민보험가입현황,2018,경기,여자,20대,변액,115576,11.4,,,,
국민보험가입현황,2018,강원,남자,20대,연금,5964,6,,,,
국민보험가입현황,2018,충남,여자,20대,종신,32832,25.9,,,,
국민보험가입현황,2018,충남,남자,20대,정기,2775,2.4,,,,
국민보험가입현황,2018,강원,여자,20대,연금,5804,7.3,,,,
